"","sciname","Genus","Species","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"1","Anguilla anguilla","Anguilla","anguilla",172,"(Linnaeus, 1758)","European eel","Anang_u6.jpg",NA,NA,NA,49,NA,9424,NA,"eel-like","O",NA,NA,0,-1,-1,-1,"demersal","catadromous",51243,0,700,54218,NA,NA,NA,88,72468,55,72462,64.35,50,"TL",133,"TL",3506,35,"TL",50,"TL",6125,6599,2850,39903,"ANANG_U0",NA,NA,NA,4931,"commercial","unknown",NA,NA,"from 10,000 to 50,000","Italy of Fishing Area 05","traps","",-1,-1,0,-1,-1,-1,0,0,-1,-1,"commercial","",12108,"never/rarely",NA,"never/rarely","",274,-1,4699,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits all types of benthic habitats from streams to shores of large rivers and lakes. Naturally found only in water bodies connected to the sea (Ref. 59043). Territorial and solitary species; 'schools' of young eels which are observed from time to time are a mass response to outward conditions and not of active assembling (Ref. 172). Amphihaline (Ref. 51442). Migrates to the depths of the Sargasso Sea to spawn (Ref. 172, 51442). Eel larvae (leptocephali) are transparent ribbon-like. They are brought to the coasts of Europe by the Gulf Stream in 7 to 11 months time (Ref. 51442) and can last for up to 3 years (Ref. 8994). They are transformed into glass eels (6-8 cm length, cylindrical in shape and transparent to slightly pigmented in colour). They enter the estuaries and colonize rivers and lakes (Ref. 11941, 51442); some individuals remain in estuaries and coastal waters to grow into adults (Ref. 88171). The glass eel stage is followed by a long feeding period (from the yellow to the silver eel stage) lasting 6-12 years in males (Ref. 6125) and 9-20 years in females (Ref. 6125). Yellow and silver eels are benthic, found under stones, buried in the mud or in crevices (Ref. 89138). Yellow eels eventually lose their pigmentation, becoming dark dorsally and silver ventrally (called silver eels). Silver eels are also characterized by a clear contrasting black lateral line and enlarged eyes (Ref. 6125). At the end of their growth period, they become sexually mature, migrate to the sea and cover great distances during their spawning migration (5,000-6,000 km); with extensive daily vertical migrations between 200 m at night and 600 m during day time, possibly for predator avoidance (Ref. 89140). Gametogenesis occurs entirely during spawning migration. Average life span is usually 15-20 years (Ref. 88171). Male eels can grow up to 50 cm TL (Ref. 39903). Occurs at temperatures ranging from 0-30°C (Ref. 172). Its food includes virtually the whole aquatic fauna (freshwater as well as marine) occurring in the eel's area, augmented with animals living out of water, e.g. worms (Ref. 172). Best temperature for making eels sexually mature is 20-25°C (Ref. 35388). Sensitive to weak magnetic fields (Ref. 89141, 89142). Their high fat content and benthic feeding habits in continental waters make them vulnerable to the bioaccumulation of pollutants, such as heavy metals and organic contaminants, that may result in organ damage and impaired migration capability (Ref. 82710) and lowered genetic variability (Ref. 82711). Review of information supports the view that the European eel population as a whole has declined in most areas, the stock is outside safe biological limits and current fisheries not sustainable (Ref. 82712). Obvious decreasing of the stocks for all the continental native distribution area (Ref. 40476). Utilized fresh, dried or salted, smoked and frozen; can be fried, boiled and baked (Ref. 9988). ",NA,0.5,0,1,"1990-10-17T00:00:00.000Z",2189,"2012-01-26T04:43:47.000Z",97,"2003-01-03T00:00:00.000Z",NA,35
"2","Lamna nasus","Lamna","nasus",247,"(Bonnaterre, 1788)","Porbeagle","Lanas_u2.jpg",NA,NA,NA,9,NA,616,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"pelagic-oceanic","oceanodromous",51243,0,715,26346,NA,NA,NA,30,247,NA,NA,86.11,350,"TL",NA,NA,4645,244,"TL",NA,NA,5951,230000,NA,40637,"LANAS_U0",NA,NA,NA,4931,"commercial","medium","Reliable: based on ex-vessel price for this species","Fully utilized.","from 1,000 to 10,000","mainly FRA (27) & Faroe I. (21)","seines","",0,-1,0,0,0,-1,0,0,-1,-1,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,-1,4699,"traumatogenic",4690,"electrosensing only",10311,NA,-1,"Most abundant on continental offshore fishing banks but also found far from land in ocean basins and occasionally close inshore (Ref. 247). Pelagic, epipelagic or littoral shark. Highly migratory, moves generally along the continental shelves. Specimens tagged off southern England were recaptured in northern Norway (having travelled 2,370 km), Denmark and Spain (Ref. 88752, 88753). The northwest Atlantic stock migrates from Newfoundland, Canada in the winter to Massachusetts in the summer (Ref. 43278, 88754). Trans-Atlantic migrations have also been recorded. One of the most cold-tolerant sharks; in the northwest Atlantic mostly found from 5-10°C (Ref. 88755). Known to temporarily tolerate salinities as low as 10 to follow its prey (Ref. 88740). Found singly and in schools and feeding aggregations (Ref. 247). Feeds on small and medium-sized pelagic schooling species, other sharks, squid (Ref. 5578) and demersal fishes (cod, white hake, red hake, haddock and cusk (Ref. 5951, 43278)). Ovoviviparous species (Ref. 43278, 50449). Females grow larger than males (Ref. 88756). Catch records and studies in the northeast Atlantic show segregation by sex and size (Ref. 56108, 88756, 88757). Parasites include <i>Phyllobothrium dagnallium</i> (found in stomach, intestine and spiral valve) and <i>Dinobothrium</i> sp. (Ref. 5951). Regarded as potentially dangerous to people because of its size and activity but has never or very seldom been indicted in an attack on people or boats (Ref. 247). Excellent sportfish (Ref. 84357). The flesh of the porbeagle is of good quality and texture and is said to taste like swordfish (Ref. 84357). Utilized fresh, dried or salted and frozen for human consumption; for oil and fishmeal; fins for shark-fin soup (Ref. 247). May be pan-fried and broiled (Ref. 9988).",NA,0.7813,0,23,"1992-06-15T00:00:00.000Z",2189,"2011-11-25T20:58:19.000Z",2,"1994-03-17T00:00:00.000Z",NA,88
"3","Cetorhinus maximus","Cetorhinus","maximus",247,"(Gunnerus, 1765)","Basking shark","Cemax_u3.jpg",NA,NA,NA,491,NA,2780,NA,"elongated","R",NA,NA,0,0,0,-1,"pelagic-oceanic","oceanodromous",51243,0,2000,26346,0,NA,55197,NA,NA,NA,NA,86.06,900,"TL",980,"TL",247,700,"TL",NA,NA,6077,4e+06,NA,4645,"CEMAX_U1",NA,NA,NA,4931,"commercial","low","Reliable: based on ex-vessel price for this species",NA,"from 1,000 to 10,000","Norway in area 27","other","",0,-1,0,0,0,-1,0,0,0,-1,"never/rarely","",NA,"never/rarely",83375,"never/rarely","",NA,0,NA,"traumatogenic",247,"electrosensing only",10311,NA,-1,"The second largest shark, reportedly reaching 1,220-1,520 cm TL (Ref. 247). Thought to live up to 50 years (Ref. 9030, 89083). Semi-oceanic or oceanic species, highly migratory (Ref. 43278). Found on continental and insular shelves, offshore and often close to land, just off the surf zone; enters enclosed bays (Ref. 247). Coastal-pelagic at 1 meter to unknown depths, probably epipelagic (Ref. 58302). Occurs singly, in pairs or groups of 3 or more, or in huge schools (group of up to 100 individuals has been reported) (Ref. 6871, 43278). Prefers water temperature between 8-16 °C (Ref. 88171). Makes extensive horizontal and vertical movements along the continental shelf and shelf edge to utilize productive feeding areas (Ref. 50200). During the summer months, it is found near the surface of boreal to warm-temperate areas (Ref. 43278) feeding on zooplankton by filtering (Ref. 88781). Found in deeper waters during winter (Ref. 6871, 50200, 58302). Undertakes long transoceanic migrations (e.g. from the British Isles to Newfoundland, Canada (Ref. 88824)) and moves between the northern and southern hemisphere in tropical mesopelagic water (Ref. 88825). These migrations have been found to cover distances of over 9,000 km. May form segregations by size or sex (Ref. 88171). Ovoviviparous (Ref. 50449). Regarded as ordinarily harmless and inoffensive but potentially dangerous if attacked (particularly when harpooned) (Ref. 247). In Bay of Fundy, Canada parasitic lampreys have been found attached to the back of basking sharks and sucking their blood (Ref. 83375). Utilized fresh, frozen and dried, or salted (Ref. 9987). Also valued for its liver for oil, fins for soup, hide for leather and carcass for fishmeal (Ref. 247). May be a potential source of anti-carcinoma drugs (Ref. 6034, 6035). Used in Chinese medicine (Ref. 12166). Threatened due to bycatch fisheries (Ref. 83294).",NA,1.5,0,23,"1992-06-15T00:00:00.000Z",2189,"2014-05-22T00:00:00.000Z",113,"1995-06-06T00:00:00.000Z",NA,90
"4","Carcharodon carcharias","Carcharodon","carcharias",247,"(Linnaeus, 1758)","Great white shark","Cacar_f3.jpg","Cacar_m1.jpg","Cacar_f3.jpg","Cacar_j2.jpg",9,NA,479,NA,"fusiform / normal","R",NA,NA,0,0,-1,-1,"pelagic-oceanic","oceanodromous",51243,0,1280,6871,0,250,55270,36,31395,NA,NA,86.29,541,"TL",594,"TL",10635,NA,"TL",NA,NA,NA,NA,3230000,91030,"CACAR_U0",NA,NA,NA,171,"minor commercial","low","Reliable: based on ex-vessel price for this species",NA,"",NA,"","",-1,-1,0,-1,-1,-1,0,0,-1,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,-1,4699,"traumatogenic",247,"electrosensing only",10311,NA,-1,"Primarily a coastal and offshore inhabitant of continental and insular shelves, but may also occur off oceanic islands far from land (Ref. 247, 43278, 58302).  Often close inshore to the surf line and even penetrates shallow bays (Ref. 247).  Pelagic, capable of migration across oceanic regions (Ref. 58302).  Usually solitary or in pairs but can be found in feeding aggregations of 10 or more; does not form schools (Ref. 247).  Feeds on bony fishes, sharks, rays, seals, dolphins and porpoises, sea birds, carrion, squid, octopi and crabs (Ref. 5578) and whales (Ref. 32140).  Ovoviviparous, embryos feeding on yolk sac and other ova produced by the mother (Ref. 43278, 50449).  Number of young born per litter, 7 (Ref. 31395) to 14 (Ref. 26346).  Reported by some experts to attack humans which they mistake for their normal prey (Ref. 47).  Most attacks occur in estuaries.  Caught by big-game anglers and line boats for its jaws (Ref. 5578).  Reported to cause poisoning (Ref. 4690).  Flesh is utilized fresh, dried-salted, and smoked for human consumption, the skin for leather, liver for oil, carcass for fishmeal, fins for shark-fin soup, and teeth and jaws for decorations (Ref. 13574). Maximun total length is leading to much speculation and some measurements are found to be doubtful. Possibly to 6.4 m or more in length (Ref. 43278), considered the world's largest predator with a broad prey spectrum.  The record of 10.98 m is incorrect (Ref. 13574). Maximum total length for male from Ref. 91029. Sometimes considered the most dangerous shark in the world (Ref. 26938).",NA,1.0313,0,23,"1992-06-15T00:00:00.000Z",3,"2013-02-07T00:00:00.000Z",113,"1998-08-18T00:00:00.000Z",NA,751
"5","Polyodon spathula","Polyodon","spathula",3814,"(Walbaum, 1792)","Mississippi paddlefish","Pospa_u0.jpg",NA,NA,NA,33,NA,1865,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal","potamodromous",51243,2,NA,NA,NA,NA,NA,55,46974,1,274,85.01,221,"TL",NA,NA,5723,119.75,"TL",NA,NA,12193,90719,NA,3221,NA,NA,NA,NA,181,"commercial","unknown",NA,"For meat, caviar, and recreation.","from 10,000 to 50,000","USA","seines",NA,0,-1,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums",NA,274,0,NA,NA,NA,"electrosensing only",10311,NA,-1,"Inhabits slow-flowing water of large rivers, usually in water deeper than 1.3 m.  Feeds on plankton.  The extended upper jaw (= paddle) may help to channel plankton into the mouth.  Threatened due to over harvesting, habitat loss and pollution (Ref. 58490).",NA,1.25,0,2,"1990-10-17T00:00:00.000Z",10,"2010-11-11T00:00:00.000Z",10,"1994-03-23T00:00:00.000Z",NA,174
"6","Carcharhinus longimanus","Carcharhinus","longimanus",244,"(Poey, 1861)","Oceanic whitetip shark","Calon_u6.jpg",NA,NA,NA,11,NA,1358,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"pelagic-oceanic","oceanodromous",51243,0,230,58302,0,152,55185,22,31395,NA,NA,74.95,400,"TL",NA,NA,89972,270,"TL",NA,NA,9253,167370,NA,40637,"CALON_U0",NA,NA,NA,171,"commercial","medium","Very questionable: based on ex-vessel price for species in this family","Fully utilized.",NA,NA,"various gears",NA,0,-1,0,0,0,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,-1,30874,"traumatogenic",244,"electrosensing only",10311,NA,-1,"An oceanic deep-water species which sometimes comes close to shore (Ref. 244).  Found surface to depths of at least 150 m (Ref. 26938).  Epipelagic usually over water depths of >184 meters (Ref. 58302).  Frequently accompanied by <i>Remora</i>, <i>Coryphaena</i>, pilot fishes (Ref. 30573), and tortoises.  Feeds oceanic bony fishes, also threadfins, stingrays, sea turtles, sea birds, gastropods, squid, crustaceans, mammalian carrion and garbage (Ref. 5578), including tuna and mahimahi (Ref. 1602, 37816).  Viviparous (Ref. 50449).  There is pronounced partial segregation by size and sex in some areas.  This is an active, almost fearless shark also charged in human attacks (Ref. 244).  Probably responsible for many open-ocean attacks after air or sea disasters (Ref. 6871).  Utilized fresh, frozen (Ref. 9987), smoked, and dried-salted for human consumption; hides for leather, fins for fin soup, liver oil for vitamins, also processed into fishmeal (Ref. 244).  1 to 15 young, 60 to 65 cm, are born per litter (Ref. 1602).",NA,0.5,0,23,"1992-06-15T00:00:00.000Z",949,"2014-09-09T00:00:00.000Z",113,"1995-06-06T00:00:00.000Z",NA,875
"7","Sphyrna lewini","Sphyrna","lewini",244,"(Griffith & Smith, 1834)","Scalloped hammerhead","Splew_u0.jpg",NA,NA,NA,12,NA,30,NA,"elongated","R",NA,NA,0,0,-1,-1,"pelagic-oceanic","oceanodromous",51243,0,1000,89972,0,25,26999,35,31395,NA,NA,81.26,430,"TL",NA,NA,26938,360,"TL",NA,NA,13562,152400,NA,40637,"SPLEW_U1",NA,NA,NA,171,"commercial","medium","Reliable: based on ex-vessel price for this species","Fully utilized.","",NA,"various gears","",0,-1,0,0,0,-1,0,0,-1,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,-1,4699,"other",13562,"electrosensing only",10311,NA,-1,"A coastal-pelagic, semi-oceanic shark occurring over continental and insular shelves and adjacent deep water, often approaching close inshore and entering enclosed bays and estuaries (Ref. 244, 11230, 58302).  Found in inshore and offshore waters to about  275 m depth (Ref. 26938, 11230, 58302); has been filmed at a baited camera in 512 m depth (Lis Maclaren, pers. comm. 2005).  Huge schools of small migrating individuals move pole ward in the summer in certain areas (Ref. 244).  Permanent resident populations also exist (Ref. 244).   Juveniles occur in coastal areas (Ref. 58784). Adults solitary, in pairs, or schools; young in large schools (Ref. 13562).  Feed mainly on teleost fishes and cephalopods (Ref. 6871), also lobsters, shrimps, crabs (Ref. 30573), including other sharks and rays (Ref. 37816).  Viviparous (Ref. 50449).  Mature females produce 15-31, of 43-55 cm young in a litter (Ref. 26938, 1602).  Considered potentially dangerous to people but often not aggressive when approached by divers (Ref. 13562).  Readily available to inshore artisanal and small commercial fisheries as well as to offshore operations (Ref. 13562).  Sold fresh, dried-salted, smoked and frozen; also sought for its fins and hides (Ref. 9987).  Oil used for vitamins and carcasses for fishmeal (Ref. 13562).",NA,0.5029,0,23,"1992-06-15T00:00:00.000Z",2291,"2014-09-10T00:00:00.000Z",113,"1995-06-07T00:00:00.000Z",NA,912
"8","Sphyrna mokarran","Sphyrna","mokarran",244,"(Rüppell, 1837)","Great hammerhead","Spmok_u6.jpg",NA,NA,NA,12,NA,30,NA,"elongated","R",NA,NA,0,0,-1,-1,"pelagic-oceanic","oceanodromous",51243,1,300,37816,1,100,89972,NA,NA,NA,NA,86.03,610,"TL",NA,NA,244,370,"TL",NA,NA,13562,449500,NA,40637,"SPMOK_U0",NA,NA,NA,171,"commercial","high","Questionable: based on ex-vessel price for species in this genus","Fully utilized.","",NA,"various gears","",0,-1,0,0,0,-1,0,0,-1,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"other",244,"electrosensing only",10311,NA,-1,"A coastal-pelagic, semi-oceanic shark, found close inshore and well offshore, over the continental shelves, island terraces, and in passes and lagoons (Ref. 244, 58302).  Often bottom and reef associated at 1-80 m (Ref. 58302).  Prefers to feed on stingrays and other batoids, groupers and sea catfishes, but also preys on other small bony fishes, crabs, squid, other sharks, rays, and lobsters (Ref. 244, 13562, 1602).  A viviparous species, with 13-42 of about 56 to 70 cm young in a litter (Ref. 26938, 1602).  Potentially dangerous to people (Ref. 13562) but only few, if any, of the attacks on people can be definitely attributed to it because of the apparent difficulty of distinguishing large hammerhead species involved in attacks (Ref. 244).  Caught occasionally by target shark longline, demersal tangle net and tuna gillnet fisheries (Ref.58048). Meat utilized for human consumption (fresh, fresh-frozen, dried-salted, and smoked), liver oil for vitamins, fins for soup, hides for leather, and carcasses for fishmeal (Ref. 244).  Its large fins, including the tail, sail-like first dorsal fin, are prized in the Oriental sharkfin trade (Ref. 47737).",NA,0.5029,0,23,"1992-06-15T00:00:00.000Z",2291,"2014-09-10T00:00:00.000Z",113,"1995-06-07T00:00:00.000Z",NA,914
"9","Sphyrna zygaena","Sphyrna","zygaena",244,"(Linnaeus, 1758)","Smooth hammerhead","Spzyg_u8.jpg",NA,NA,"Spzyg_j0.jpg",12,NA,30,NA,"elongated","R",NA,NA,0,0,-1,-1,"pelagic-oceanic","oceanodromous",13562,0,200,5578,0,20,55303,NA,NA,NA,NA,85.38,500,"TL",NA,NA,35388,335,"TL",NA,NA,13562,4e+05,NA,9987,"SPZYG_U0",NA,NA,NA,171,"commercial","low","Reliable: based on ex-vessel price for this species","Fully utilized.","",NA,"various gears","",0,-1,0,0,0,-1,0,0,-1,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,-1,9987,"traumatogenic",244,"electrosensing only",10311,NA,-1,"Occurs inshore and well offshore (Ref. 5578), over continental and insular shelves (Ref. 244).  Coastal, pelagic, and semi-oceanic, but often bottom associated at 1-139 m (Ref. 58302).  Migrates northward in summer; young often in large aggregations of hundreds of individuals (Ref. 13562).  Prefers to feed on small sharks, skates and stingrays, but also preys on bony fishes, shrimps, crabs, barnacles and cephalopods (Ref. 244).  Viviparous (Ref. 50449).  Regarded as being dangerous to people, though only few can be tentatively attributed to this species due to its occurrence in temperate waters (Ref. 244).  Reported to cause poisoning (Ref. 4690).  Caught occasionally by shark and tuna longline fisheries (Ref.58048). Meat utilized fresh, dried-salted, and possibly smoked for human consumption; liver oil for vitamins, fins for soup, hide for leather, and carcasses for fishmeal (Ref. 244).  Used in Chinese medicine (Ref. 12166).  Become sexually mature when 250 to 300 cm long.  The female gives birth to 30 - 40 young (Ref. 35388).",NA,0.5029,0,23,"1992-06-15T00:00:00.000Z",949,"2008-09-10T00:00:00.000Z",113,"1995-06-07T00:00:00.000Z",NA,917
"10","Hippocampus hippocampus","Hippocampus","hippocampus",30915,"(Linnaeus, 1758)","Short snouted seahorse","Hihip_u4.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,60,52034,NA,NA,NA,NA,NA,1.3,72462,12.01,15,"TL",NA,NA,6733,NA,NA,NA,NA,NA,NA,NA,NA,"HIHIP_U0",NA,NA,NA,12238,"minor commercial","unknown",NA,NA,"",NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"show aquarium","based mainly on capture",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits dense, complex habitats as well as patchy, relatively open and sparse habitats of coastal areas. Found on soft bottoms amongst rocks and algae (Ref. 6733), on sparsely vegetated areas, and in coastal lagoons with strong oceanic influences (Refs. 52034, 89230). Mimics the green or yellow coloration of plants allowing it to hide among the vegetation. This ability likely plays a role in seahorse feeding strategy and in predator avoidance (Ref. 52034). Makes limited daily movements within very restricted home ranges (0.7-18.1 m2) (Refs. 52034, 89256). May over-winter in deeper water. (Ref. 53712). Adult dispersal over large distances is probably caused by strong wave action during storms or when it anchors itself to floating debris (Ref. 52034).
Is thought to live for 3-5 years (Ref. 52034). Because of its short generation time and multiple breeding cycles during each spawning season, resilience is thought to be high. However, in tropical areas where seagrass beds are regularly exploited for other species of seahorses for the aquarium trade, traditional medicine, etc., populations have been quickly eradicated (Ref. 89253). Feeds on small prey and organic debris. Has been reared in captivity (Ref. 35416).
",NA,0.5,0,5,"1990-10-25T00:00:00.000Z",8,"2012-03-12T18:46:28.000Z",18,"1994-09-01T00:00:00.000Z",NA,1801
